1:8-39-A025-A025-[S501,B5142][E3579,E3579]
115:4-17-A072-A072-[S577,B5241][E4065,E4065]
116:2-15-A072-A072-[S578,B4128][E4068,E4068]
117:16-47-A072-A072-[S579,S579,B0390,B3135][E4075,E4077,E4077,E4075]
118:10-53-A072-A072-[S579,S579,S579,B5571,B0373,B2951][E4076,E4079,E4073,E4079,E4076,E4073]
119:4-31-A072-A072-[S579,B5276][E4078,E4078]
120:6-27-A072-A033-[S580,B6456][E4096,E4096]
121:12-44-A072-A072-[S580,S580,B4128,B0581][E4093,E4090,E4090,E4093]
122:4-19-A072-A072-[S580,B5241][E4091,E4091]
123:2-16-A072-A072-[S580,B0373][E4086,E4086]
124:8-35-A072-A072-[S580,S580,B5241,B0373][E4092,E4087,E4092,E4087]
125:6-18-A072-A072-[S580,B0373][E4088,E4088]
126:12-55-A072-A072-[S580,S580,B0796,B0373][E4098,E4089,E4098,E4089]
127:16-44-A072-A072-[S580,S580,B0581,B0581][E4094,E4095,E4095,E4094]
128:2-23-A072-A072-[S581,B5219][E4099,E4099]
129:4-21-A072-A072-[S581,B0667][E4100,E4100]
130:2-20-A072-A072-[S582,B3765][E4101,E4101]
131:2-28-A072-A072-[S583,B3126][E4102,E4102]
132:2-14-A072-A072-[S584,B2269][E4104,E4104]
133:4-15-A072-A072-[S584,B2269][E4105,E4105]
134:4-20-A072-A072-[S584,B7926][E4107,E4107]
135:4-23-A072-A072-[S584,B1489][E4103,E4103]
136:6-15-A072-A072-[S584,B8022][E4108,E4108]
137:4-30-A072-A072-[S585,B0581][E4109,E4109]
138:6-31-A072-A079-[S586,B4243][E4112,E4112]
139:6-28-A072-A072-[S586,B3787][E4111,E4111]
140:4-29-A072-A072-[S586,B0995][E4117,E4117]
141:4-40-A072-A072-[S586,S586,B0581,B0581][E4115,E4116,E4115,E4116]
142:12-50-A072-A072-[S586,S586,B4854,B5571][E4114,E4113,E4113,E4114]
143:2-31-A072-A007-[S587,B3823][E4120,E4120]
144:2-30-A072-A079-[S587,B4854][E4121,E4121]
145:4-33-A072-A072-[S587,B3126][E4119,E4119]
146:2-30-A072-A079-[S587,B4854][E4122,E4122]
147:4-31-A072-A072-[S587,B0581][E4123,E4123]
148:10-57-A072-A072-[S588,S588,B7608,B2244][E4125,E4124,E4125,E4124]
149:8-19-A072-A072-[S589,B4176][E4126,E4126]
150:6-24-A072-A072-[S589,B5946][E4127,E4127]
151:14-45-A072-A072-[S589,S589,B7596,B0995][E4128,E4129,E4128,E4129]
152:2-16-A072-A072-[S590,B4176][E4132,E4132]
153:2-18-A072-A072-[S590,B5571][E4135,E4135]
154:2-16-A072-A072-[S590,B4176][E4133,E4133]
155:8-37-A072-A072-[S590,S590,S590,B7926,B4176,B6964][E4137,E4134,E4138,E4138,E4134,E4137]
156:2-23-A072-A072-[S590,B3019][E4130,E4130]
157:4-22-A072-A072-[S590,B4128][E4131,E4131]
158:4-21-A072-A079-[S590,B6062][E4136,E4136]
159:2-16-A072-A072-[S591,B4176][E4139,E4139]
160:8-34-A072-A079-[S592,B0795][E4148,E4148]
161:4-17-A072-A072-[S592,B4176][E4145,E4145]
162:8-46-A072-A079-[S592,S592,B2269,B6062][E4141,E4147,E4141,E4147]
163:6-31-A072-A072-[S592,B2951][E4142,E4142]
164:8-50-A072-A072-[S592,S592,B1060,B2951][E4140,E4143,E4140,E4143]
165:6-25-A072-A072-[S592,B0373][E4144,E4144]
166:8-31-A072-A072-[S593,B3765][E4149,E4149]
167:4-29-A072-A072-[S593,B3765][E4150,E4150]
168:4-29-A072-A072-[S593,B3765][E4151,E4151]
169:4-21-A072-A072-[S593,B7926][E4152,E4152]
170:6-33-A079-A072-[S594,S594,B0995,B5571][E4157,E4160,E4160,E4157]
171:8-36-A079-A072-[S594,S594,B0995,B7926][E4158,E4161,E4161,E4158]
172:4-20-A079-A072-[S594,B4176][E4155,E4155]
173:6-21-A079-A072-[S594,B4176][E4156,E4156]
174:4-20-A079-A079-[S594,B8388][E4159,E4159]
175:2-21-A079-A079-[S595,B3275][E4162,E4162]
176:6-25-A079-A072-[S595,B4176][E4163,E4163]
177:26-45-A079-A033-[S596,B3844][E4168,E4168]
178:28-52-A079-A072-[S596,S596,B6746,B6964][E4170,E4169,E4169,E4170]
179:24-35-A079-A072-[S596,B3135][E4166,E4166]
180:4-29-A079-A072-[S596,B0373][E4167,E4167]
181:6-50-A007-A007-[S597,S597,B1468,B1399][E4173,E4172,E4173,E4172]
182:14-85-A007-A007-[S597,S597,S597,B4409,B6520,B4764][E4191,E4192,E4184,E4184,E4192,E4191]
183:6-59-A007-A082-[S597,S597,B3354,B2814][E4181,E4179,E4181,E4179]
184:2-38-A007-A007-[S597,B1468][E4174,E4174]
185:4-34-A007-A007-[S597,B4409][E4186,E4186]
186:4-34-A007-A007-[S597,B4409][E4187,E4187]
187:4-33-A007-A007-[S597,B2415][E4177,E4177]
188:6-36-A007-A007-[S597,B6884][E4194,E4194]
189:4-34-A007-A007-[S597,B4409][E4188,E4188]
190:4-34-A007-A007-[S597,B9188][E4195,E4195]
191:16-85-A007-A007-[S597,S597,S597,S597,B9188,B2415,B4690,B4409][E4196,E4189,E4178,E4190,E4196,E4178,E4190,E4189]
192:10-45-A007-A007-[S598,S598,B9188,B0996][E4198,E4197,E4197,E4198]
193:2-28-A007-A007-[S599,B4409][E4201,E4201]
194:4-36-A007-A007-[S599,B6884][E4204,E4204]
195:6-57-A007-A007-[S599,S599,S599,B4409,B4409,B6884][E4202,E4203,E4205,E4202,E4203,E4205]
196:24-71-A007-A007-[S600,S600,B4216,B0824][E4222,E4240,E4222,E4240]
197:8-67-A007-A007-[S600,S600,S600,B6884,B1433,B6884][E4232,E4233,E4206,E4233,E4206,E4232]
198:4-52-A007-A007-[S600,S600,B2521,B6884][E4234,E4214,E4214,E4234]
199:12-63-A007-A007-[S600,S600,B6884,B4409][E4235,E4229,E4235,E4229]
200:4-40-A007-A007-[S600,B6884][E4236,E4236]
201:2-38-A007-A007-[S600,B2415][E4212,E4212]
202:4-40-A007-A007-[S600,B4409][E4230,E4230]
203:4-40-A007-A007-[S600,B6884][E4237,E4237]
204:4-40-A007-A007-[S600,B6884][E4238,E4238]
205:8-115-A007-A123-[S600,B7245][E4239,E4239]
206:4-39-A007-A007-[S600,B2521][E4216,E4216]
207:2-39-A007-A007-[S600,B4409][E4231,E4231]
208:2-38-A007-A007-[S600,B2521][E4217,E4217]
209:2-38-A007-A007-[S600,B2521][E4218,E4218]
210:8-61-A007-A007-[S600,S600,B3354,B1468][E4207,E4221,E4221,E4207]
211:2-38-A007-A007-[S600,B2415][E4213,E4213]
212:4-49-A007-A007-[S597,S601,B1399,B4409][E4171,E4245,E4171,E4245]
213:4-64-A007-A082-[S601,S601,B3354,B5966][E4241,E4246,E4241,E4246]
214:4-42-A007-A007-[S603,S603,B4409,B6884][E4261,E4257,E4257,E4261]
215:8-58-A007-A082-[S603,S603,B6884,B2814][E4262,E4255,E4262,E4255]
216:2-29-A007-A007-[S603,B2415][E4254,E4254]
217:2-26-A007-A007-[S603,B4409][E4258,E4258]
218:6-50-A007-A007-[S603,S603,B4409,B6884][E4259,E4263,E4259,E4263]
219:6-63-A007-A007-[S603,S603,S603,B6884,B6884,B4409][E4264,E4260,E4265,E4264,E4265,E4260]
220:2-39-A007-A007-[S604,B1468][E4267,E4267]
221:46-70-A007-A007-[S605,S605,B2521,B3354][E4277,E4288,E4277,E4288]
222:50-77-A007-A007-[S605,S605,S605,B4764,B6884,B1433][E4271,E4305,E4304,E4304,E4305,E4271]
223:34-69-A007-A007-[S605,S605,S605,B1468,B2521,B4409][E4302,E4272,E4278,E4272,E4278,E4302]
224:40-49-A007-A007-[S605,B6884][E4306,E4306]
225:28-45-A007-A007-[S605,B2521][E4279,E4279]
226:30-46-A007-A007-[S605,B2521][E4280,E4280]
227:28-52-A007-A100-[S605,B4742][E4303,E4303]
228:52-68-A007-A007-[S605,S605,B2521,B1468][E4281,E4273,E4281,E4273]
229:20-46-A007-A007-[S605,B1468][E4274,E4274]
230:92-74-A007-A007-[S605,S605,B2521,B2521][E4282,E4283,E4283,E4282]
231:124-113-A007-A007-[S605,S605,S605,S605,B1468,B6884,B2521,B3354][E4289,E4284,E4307,E4275,E4275,E4307,E4284,E4289]
232:48-67-A007-A007-[S605,S605,B2521,B1468][E4285,E4276,E4285,E4276]
233:40-65-A007-A007-[S605,S605,B3354,B2521][E4290,E4286,E4290,E4286]
234:2-46-A007-A082-[S606,B7906][E4309,E4309]
235:2-37-A007-A007-[S607,B2521][E4310,E4310]
236:2-37-A007-A007-[S607,B9188][E4312,E4312]
237:10-63-A007-A007-[S608,S608,B1437,B2388][E4314,E4313,E4313,E4314]
238:4-46-A007-A082-[S608,B4690][E4316,E4316]
239:4-26-A072-A033-[S579,B6456][E4080,E4080]
240:4-23-A072-A072-[S579,B2951][E4072,E4072]
241:8-61-A007-A007-[S602,S600,B3354,B2521][E4249,E4215,E4249,E4215]
242:6-38-A007-A007-[S603,B3354][E4256,E4256]
243:4-36-A007-A007-[S603,B6884][E4266,E4266]
244:6-60-A072-A072-[S576,S575,B8165,B7926][E4061,E4054,E4061,E4054]
245:4-64-A007-A007-[S601,S601,B3354,B6884][E4242,E4247,E4242,E4247]
246:2-24-A072-A033-[S573,B7900][E4011,E4011]
247:12-50-A079-A072-[S594,S594,S592,B3275,B3275,B4176][E4153,E4154,E4146,E4154,E4153,E4146]
248:4-60-A072-A033-[S572,S572,B2689,B5242][E3969,E3970,E3969,E3970]
249:4-24-A079-A072-[S595,B7596][E4164,E4164]
250:6-24-A079-A072-[S595,B9018][E4165,E4165]
251:8-55-A072-A072-[S573,S575,B7981,B5136][E4014,E4052,E4014,E4052]
252:24-122-A007-A007-[S599,S599,S597,S597,S597,B2415,B4409,B6884,B4409,B3354][E4199,E4200,E4185,E4180,E4193,E4199,E4200,E4193,E4185,E4180]
253:12-58-A072-A033-[S573,S573,S574,B7900,B0336,B6456][E3990,E4012,E4046,E4012,E3990,E4046]
254:10-39-A072-A033-[S573,S573,B0632,B0099][E4002,E4016,E4002,E4016]
255:6-27-A072-A033-[S573,B6726][E4004,E4004]
