1:10-32-A047-A047-[S099,S099,B7753,B2408][E1412,E1425,E1425,E1412]
2:10-45-A047-A047-[S099,S099,S099,B2408,B2123,B6369][E1413,E1421,E1411,E1413,E1411,E1421]
3:18-50-A047-A047-[S099,S099,S099,B0547,B6369,B2408][E1414,E1422,E1420,E1420,E1422,E1414]
4:8-31-A047-A047-[S099,S099,B6369,B2408][E1415,E1423,E1423,E1415]
5:6-18-A047-A047-[S099,B2408][E1416,E1416]
45:16-57-A085-A063-[S121,S121,S121,B1402,B4779,B7763][E1512,E1515,E1516,E1512,E1515,E1516]
46:4-52-A085-A098-[S121,B4580][E1514,E1514]
47:4-40-A069-A121-[S122,B9160][E1517,E1517]
48:2-28-A085-A085-[S127,B1089][E1528,E1528]
49:2-27-A085-A085-[S128,B5177][E1530,E1530]
50:4-28-A085-A085-[S128,B2010][E1529,E1529]
51:26-39-A069-A069-[S136,S136,B6444,B6444][E1577,E1578,E1578,E1577]
52:4-25-A069-A069-[S138,B5385][E1581,E1581]
53:4-25-A069-A069-[S142,B3198][E1593,E1593]
54:2-24-A069-A069-[S142,B3198][E1594,E1594]
55:2-24-A069-A069-[S142,B3198][E1595,E1595]
56:2-24-A069-A069-[S142,B3198][E1596,E1596]
57:4-25-A069-A069-[S142,B3198][E1597,E1597]
58:2-24-A069-A069-[S142,B3198][E1598,E1598]
59:8-33-A085-A052-[S144,B2509][E1612,E1612]
60:6-28-A069-A045-[S145,B5983][E1615,E1615]
61:4-26-A069-A069-[S145,B5781][E1614,E1614]
62:2-24-A069-A069-[S145,B5385][E1613,E1613]
63:2-26-A085-A085-[S148,B5026][E1619,E1619]
64:4-28-A052-A052-[S149,B2019][E1620,E1620]
65:4-27-A052-A063-[S150,B0172][E1621,E1621]
66:12-60-A052-A101-[S150,B3836][E1622,E1622]
67:6-28-A045-A069-[S151,B3243][E1623,E1623]
68:10-27-A045-A045-[S151,B7235][E1624,E1624]
69:16-27-A045-A045-[S152,B1600][E1625,E1625]
70:54-66-A045-A081-[S152,S152,B0747,B4952][E1635,E1632,E1635,E1632]
71:68-54-A045-A069-[S152,S152,B7235,B0747][E1636,E1633,E1633,E1636]
72:24-29-A045-A045-[S152,B7235][E1634,E1634]
73:28-34-A045-A045-[S152,B0369][E1631,E1631]
74:28-41-A045-A003-[S152,B2604][E1626,E1626]
75:6-28-A045-A069-[S152,B3243][E1630,E1630]
76:54-80-A045-A098-[S152,S152,B2740,B0291][E1627,E1628,E1627,E1628]
77:14-45-A045-A063-[S153,S153,B7609,B3478][E1642,E1640,E1642,E1640]
78:4-26-A045-A045-[S153,B3913][E1641,E1641]
79:4-51-A045-A063-[S153,S153,B3431,B0827][E1643,E1638,E1638,E1643]
80:8-37-A045-A069-[S153,B3431][E1639,E1639]
81:4-28-A045-A085-[S153,B8788][E1644,E1644]
82:4-28-A045-A085-[S154,B6818][E1647,E1647]
83:4-32-A045-A069-[S154,B5438][E1646,E1646]
84:6-30-A045-A045-[S154,B3211][E1645,E1645]
85:2-24-A045-A045-[S156,B7522][E1652,E1652]
86:14-33-A045-A085-[S156,B4582][E1651,E1651]
87:12-31-A045-A063-[S156,B3478][E1650,E1650]
88:8-38-A045-A045-[S157,S157,B4046,B4046][E1654,E1655,E1654,E1655]
89:6-21-A045-A045-[S157,B7826][E1657,E1657]
90:6-26-A045-A069-[S157,B3243][E1653,E1653]
91:10-48-A052-A052-[S158,S158,B5645,B4251][E1659,E1661,E1661,E1659]
92:4-28-A052-A090-[S158,B5645][E1662,E1662]
93:4-33-A052-A085-[S158,B5026][E1660,E1660]
94:4-25-A045-A045-[S159,B2546][E1663,E1663]
95:2-28-A052-A024-[S160,B8974][E1664,E1664]
96:4-26-A063-A045-[S161,B0790][E1666,E1666]
97:2-22-A063-A063-[S161,B4133][E1665,E1665]
98:4-29-A090-A052-[S162,B7015][E1667,E1667]
99:2-30-A101-A045-[S164,B0663][E1671,E1671]
100:8-32-A101-A045-[S164,B8744][E1672,E1672]
101:8-32-A101-A045-[S164,B8744][E1673,E1673]
102:4-34-A101-A101-[S164,B4716][E1670,E1670]
103:34-39-A045-A045-[S165,S165,B0348,B4046][E1690,E1694,E1690,E1694]
104:44-52-A045-A069-[S165,S165,B3016,B1275][E1686,E1674,E1686,E1674]
105:40-56-A045-A069-[S165,S165,B3243,B4544][E1697,E1687,E1687,E1697]
106:48-52-A045-A045-[S165,S165,B1602,B4808][E1698,E1681,E1681,E1698]
107:24-25-A045-A045-[S165,B4808][E1699,E1699]
108:30-53-A045-A045-[S165,S165,S165,B7826,B7826,B2546][E1704,E1684,E1705,E1704,E1705,E1684]
109:6-51-A045-A045-[S165,S165,B3432,B1476][E1689,E1677,E1689,E1677]
110:4-27-A045-A045-[S165,B5171][E1700,E1700]
111:4-19-A045-A045-[S165,B1600][E1680,E1680]
112:12-39-A045-A069-[S165,S165,B7826,B1275][E1675,E1706,E1706,E1675]
113:24-60-A045-A045-[S165,S165,S165,B7826,B7235,B4046][E1702,E1707,E1695,E1707,E1702,E1695]
114:4-26-A045-A069-[S165,B3243][E1688,E1688]
115:28-33-A045-A069-[S165,B1275][E1676,E1676]
116:4-27-A045-A069-[S165,B9143][E1708,E1708]
117:32-51-A045-A045-[S165,S165,B2477,B0348][E1691,E1683,E1683,E1691]
118:22-34-A045-A045-[S165,B4390][E1696,E1696]
119:40-71-A045-A045-[S165,S165,S165,S165,B5983,B1602,B0348,B2546][E1682,E1685,E1692,E1701,E1701,E1682,E1692,E1685]
120:2-26-A063-A003-[S166,B6710][E1709,E1709]
121:8-27-A063-A063-[S168,B1876][E1713,E1713]
122:6-21-A063-A063-[S168,B1402][E1711,E1711]
123:4-20-A063-A063-[S168,B1402][E1712,E1712]
124:2-33-A063-A069-[S168,B3243][E1714,E1714]
125:2-28-A045-A101-[S169,B4672][E1716,E1716]
126:18-34-A024-A052-[S170,B2019][E1717,E1717]
127:20-34-A024-A090-[S170,B3104][E1718,E1718]
128:48-55-A024-A024-[S170,S170,B8835,B8025][E1720,E1719,E1720,E1719]
129:2-17-A045-A045-[S172,B4808][E1724,E1724]
130:2-14-A045-A045-[S172,B4046][E1723,E1723]
131:2-23-A045-A063-[S173,B4133][E1727,E1727]
132:2-23-A045-A063-[S173,B4133][E1728,E1728]
133:2-21-A045-A045-[S173,B1251][E1725,E1725]
134:2-21-A045-A045-[S173,B1251][E1726,E1726]
135:56-62-A063-A063-[S174,S174,B7890,B3925][E1736,E1745,E1745,E1736]
136:20-27-A063-A024-[S174,B1297][E1729,E1729]
137:68-69-A063-A085-[S174,S174,B2019,B6051][E1732,E1742,E1732,E1742]
138:18-30-A063-A063-[S174,B2339][E1733,E1733]
139:20-46-A063-A063-[S174,S174,B8102,B3018][E1735,E1746,E1746,E1735]
140:56-59-A063-A063-[S174,S174,B6590,B5756][E1741,E1744,E1744,E1741]
141:32-29-A063-A024-[S174,B4340][E1738,E1738]
142:82-53-A063-A063-[S174,S174,B8649,B3925][E1748,E1737,E1748,E1737]
143:26-29-A063-A046-[S174,B8203][E1747,E1747]
144:16-24-A063-A063-[S174,B5116][E1740,E1740]
145:36-36-A063-A085-[S174,B4795][E1739,E1739]
146:4-28-A045-A063-[S175,B5217][E1750,E1750]
147:4-22-A045-A045-[S175,B1251][E1749,E1749]
148:2-22-A045-A045-[S175,B8998][E1751,E1751]
149:4-16-A045-A045-[S176,B3016][E1752,E1752]
150:2-26-A045-A069-[S177,B3243][E1753,E1753]
151:2-19-A045-A045-[S178,B4808][E1755,E1755]
152:2-25-A081-A101-[S179,B4202][E1756,E1756]
153:12-21-A045-A045-[S180,B7826][E1758,E1758]
154:6-26-A045-A069-[S180,B3243][E1757,E1757]
155:28-29-A024-A024-[S181,B2754][E1763,E1763]
156:2-16-A024-A024-[S181,B8615][E1768,E1768]
157:38-34-A024-A024-[S181,B2036][E1762,E1762]
158:42-27-A024-A024-[S181,B1499][E1759,E1759]
159:26-30-A024-A024-[S181,B9097][E1769,E1769]
160:52-52-A024-A024-[S181,S181,B0359,B4753][E1767,E1764,E1764,E1767]
161:44-54-A024-A024-[S181,S181,B0359,B3970][E1766,E1765,E1765,E1766]
162:2-29-A081-A045-[S182,B8744][E1771,E1771]
163:2-24-A081-A010-[S182,B0270][E1770,E1770]
164:4-23-A024-A024-[S183,B4838][E1772,E1772]
165:2-19-A024-A024-[S184,B8025][E1777,E1777]
166:2-19-A024-A024-[S184,B8025][E1778,E1778]
167:4-23-A024-A024-[S184,B2754][E1774,E1774]
168:8-37-A024-A024-[S184,S184,B3907,B2754][E1776,E1775,E1776,E1775]
169:2-20-A024-A024-[S184,B2724][E1773,E1773]
170:4-20-A024-A024-[S185,B8025][E1779,E1779]
171:4-21-A045-A045-[S187,B1251][E1781,E1781]
172:6-28-A024-A024-[S188,B1297][E1782,E1782]
173:6-29-A024-A052-[S188,B2509][E1784,E1784]
174:4-23-A024-A024-[S188,B2108][E1783,E1783]
175:4-25-A024-A024-[S188,B7984][E1785,E1785]
176:4-24-A046-A046-[S189,B7783][E1786,E1786]
177:2-20-A094-A090-[S190,B3637][E1787,E1787]
178:12-20-A024-A024-[S191,B0503][E1788,E1788]
179:2-15-A046-A063-[S192,B4849][E1789,E1789]
180:2-15-A024-A024-[S194,B8139][E1795,E1795]
181:4-22-A024-A024-[S194,B3228][E1794,E1794]
182:2-23-A024-A024-[S194,B8835][E1796,E1796]
183:4-21-A024-A024-[S194,B9097][E1797,E1797]
184:2-27-A094-A094-[S195,B8442][E1800,E1800]
185:2-24-A094-A090-[S195,B4112][E1799,E1799]
186:4-29-A094-A096-[S195,B2087][E1798,E1798]
187:40-27-A046-A046-[S196,B8907][E1801,E1801]
188:8-19-A046-A046-[S198,B4289][E1809,E1809]
189:4-27-A046-A085-[S198,B0169][E1805,E1805]
190:18-71-A046-A063-[S198,S198,S198,B6579,B7609,B8654][E1818,E1816,E1812,E1812,E1816,E1818]
191:4-23-A046-A003-[S198,B3145][E1807,E1807]
192:20-55-A046-A063-[S198,S198,B4139,B2731][E1806,E1808,E1808,E1806]
193:12-25-A046-A063-[S198,B1502][E1804,E1804]
194:4-25-A046-A063-[S198,B7055][E1815,E1815]
195:8-26-A046-A063-[S198,B6833][E1813,E1813]
196:6-25-A046-A063-[S198,B6833][E1814,E1814]
197:6-65-A046-A122-[S198,B8215][E1817,E1817]
198:2-36-A045-A098-[S200,B0291][E1821,E1821]
199:22-47-A081-A081-[S201,S201,S201,B4952,B7836,B5945][E1855,E1864,E1839,E1839,E1864,E1855]
200:16-89-A081-A098-[S201,S201,S201,S201,B2546,B5951,B4549,B0291][E1856,E1826,E1838,E1829,E1826,E1856,E1838,E1829]
201:14-39-A081-A081-[S201,S201,S201,B4952,B0767,B0767][E1860,E1861,E1840,E1840,E1861,E1860]
202:12-34-A081-A081-[S201,S201,B4952,B4952][E1841,E1842,E1842,E1841]
203:38-101-A081-A081-[S201,S201,S201,S201,S201,S201,B0430,B7826,B4952,B2546,B0767,B4155][E1863,E1837,E1827,E1835,E1862,E1843,E1837,E1863,E1843,E1827,E1862,E1835]
204:12-39-A081-A081-[S201,S201,B5365,B4155][E1853,E1836,E1853,E1836]
205:10-20-A081-A081-[S201,B4952][E1844,E1844]
206:8-74-A081-A081-[S201,S201,B0291,B4952][E1845,E1830,E1830,E1845]
207:12-34-A081-A081-[S201,S201,B4952,B7836][E1865,E1846,E1846,E1865]
208:4-17-A081-A081-[S201,B4952][E1847,E1847]
209:2-32-A081-A046-[S201,B1975][E1825,E1825]
210:20-34-A081-A081-[S201,S201,B4952,B4952][E1848,E1849,E1849,E1848]
211:8-78-A081-A081-[S201,S201,B0291,B4952][E1850,E1831,E1831,E1850]
212:6-31-A081-A045-[S201,S201,B2546,B7611][E1859,E1828,E1828,E1859]
213:24-95-A081-A081-[S201,S201,S201,B0291,B4952,B4952][E1851,E1832,E1852,E1832,E1852,E1851]
214:22-22-A081-A081-[S202,B0767][E1867,E1867]
215:28-23-A081-A081-[S202,B7836][E1868,E1868]
216:24-22-A081-A081-[S202,B5994][E1866,E1866]
217:4-25-A094-A094-[S203,B7948][E1872,E1872]
218:4-34-A094-A096-[S203,B8653][E1877,E1877]
219:2-24-A094-A094-[S203,B7948][E1873,E1873]
220:4-25-A094-A094-[S203,B7948][E1874,E1874]
221:6-44-A094-A094-[S203,S203,B4036,B7948][E1869,E1875,E1869,E1875]
222:4-28-A094-A094-[S203,B4036][E1870,E1870]
223:6-35-A094-A096-[S203,B8653][E1878,E1878]
224:4-25-A094-A094-[S203,B7948][E1876,E1876]
225:4-21-A043-A101-[S204,B1283][E1879,E1879]
226:6-20-A046-A046-[S205,B0397][E1880,E1880]
227:8-24-A046-A046-[S205,B6838][E1882,E1882]
228:4-19-A046-A046-[S205,B0397][E1881,E1881]
229:4-20-A046-A046-[S206,B0397][E1884,E1884]
230:2-21-A046-A063-[S206,B1512][E1883,E1883]
231:8-24-A046-A046-[S206,B5222][E1885,E1885]
232:4-18-A094-A094-[S207,B5686][E1886,E1886]
233:2-17-A094-A094-[S207,B5686][E1887,E1887]
234:30-27-A046-A046-[S208,B0397][E1894,E1894]
235:32-22-A046-A046-[S208,B0745][E1901,E1901]
236:44-29-A046-A046-[S208,B0397][E1895,E1895]
237:20-19-A046-A046-[S208,B0745][E1902,E1902]
238:28-25-A046-A063-[S208,B9208][E1908,E1908]
239:32-21-A046-A046-[S208,B4282][E1896,E1896]
240:28-69-A046-A122-[S208,B8215][E1906,E1906]
241:22-68-A046-A122-[S208,B8215][E1907,E1907]
242:26-22-A046-A046-[S208,B6772][E1898,E1898]
243:22-22-A046-A063-[S208,B1512][E1888,E1888]
244:18-24-A046-A063-[S208,B7398][E1900,E1900]
245:36-23-A046-A046-[S208,B0745][E1903,E1903]
246:14-36-A046-A046-[S208,S208,B7803,B6772][E1899,E1905,E1905,E1899]
247:46-28-A046-A046-[S208,B2450][E1890,E1890]
248:34-23-A046-A046-[S208,B2597][E1891,E1891]
249:44-45-A046-A046-[S208,S208,B2654,B0745][E1904,E1892,E1892,E1904]
250:34-25-A081-A081-[S209,B5958][E1909,E1909]
251:2-54-A024-A098-[S211,B0291][E1921,E1921]
252:6-52-A024-A024-[S211,S211,S211,B0359,B2487,B6976][E1936,E1924,E1920,E1924,E1920,E1936]
253:10-40-A024-A024-[S211,S211,B6074,B7214][E1938,E1933,E1933,E1938]
254:4-23-A024-A024-[S211,B6976][E1937,E1937]
255:10-69-A024-A024-[S211,S211,S211,B0359,B5195,B0359][E1925,E1932,E1926,E1925,E1932,E1926]
256:2-20-A024-A024-[S211,B3888][E1928,E1928]
257:6-37-A024-A024-[S211,S211,B3888,B3888][E1929,E1930,E1930,E1929]
258:4-34-A024-A024-[S211,S211,B3888,B0359][E1931,E1927,E1931,E1927]
259:2-19-A024-A024-[S212,B3228][E1941,E1941]
260:4-20-A024-A024-[S212,B3228][E1942,E1942]
261:2-23-A024-A024-[S212,B4181][E1945,E1945]
262:4-36-A024-A024-[S212,S212,B3808,B3808][E1943,E1944,E1943,E1944]
263:2-22-A024-A063-[S212,B7989][E1947,E1947]
264:2-17-A024-A024-[S212,B0155][E1939,E1939]
265:2-17-A024-A024-[S212,B6620][E1946,E1946]
266:4-18-A046-A046-[S213,B8203][E1959,E1959]
267:4-15-A046-A046-[S213,B6772][E1957,E1957]
268:2-16-A046-A063-[S213,B1512][E1948,E1948]
269:6-15-A046-A046-[S213,B3330][E1953,E1953]
270:4-22-A046-A003-[S213,B2604][E1950,E1950]
271:2-22-A046-A046-[S213,B3270][E1952,E1952]
272:2-19-A046-A046-[S213,B8553][E1960,E1960]
273:6-40-A046-A045-[S213,S213,B5826,B4246][E1954,E1955,E1955,E1954]
274:2-33-A046-A052-[S213,B7572][E1958,E1958]
275:2-12-A081-A081-[S214,B5945][E1962,E1962]
276:4-13-A081-A081-[S214,B0767][E1963,E1963]
277:2-12-A081-A081-[S214,B0767][E1964,E1964]
278:4-36-A081-A003-[S214,S214,B0767,B3290][E1965,E1961,E1965,E1961]
279:6-26-A094-A094-[S215,B7948][E1966,E1966]
280:8-27-A094-A094-[S215,B7948][E1967,E1967]
281:2-20-A094-A094-[S215,B8953][E1969,E1969]
282:4-25-A094-A094-[S215,B7948][E1968,E1968]
283:6-40-A046-A046-[S218,S218,B1972,B4289][E1979,E1982,E1979,E1982]
284:12-78-A046-A085-[S218,S218,S218,B4934,B3661,B0111][E1983,E1981,E1972,E1983,E1981,E1972]
285:4-18-A046-A063-[S218,B0505][E1984,E1984]
286:8-45-A046-A046-[S218,S218,B1402,B6579][E1986,E1974,E1974,E1986]
287:6-23-A046-A063-[S218,B1402][E1975,E1975]
288:12-30-A046-A063-[S218,B1876][E1978,E1978]
289:6-20-A046-A046-[S218,B8553][E1987,E1987]
290:8-24-A046-A045-[S218,B1251][E1973,E1973]
291:4-21-A046-A046-[S219,B0397][E1988,E1988]
292:2-20-A046-A046-[S220,B5449][E1989,E1989]
293:6-36-A046-A046-[S221,S221,B1795,B3330][E1990,E1992,E1990,E1992]
294:2-14-A046-A046-[S221,B6772][E1998,E1998]
295:2-14-A046-A046-[S221,B6772][E1999,E1999]
296:4-16-A046-A046-[S221,B7803][E2000,E2000]
297:4-14-A046-A046-[S221,B3330][E1993,E1993]
298:4-21-A046-A063-[S221,B5756][E1996,E1996]
299:4-17-A046-A046-[S221,B2148][E1991,E1991]
300:4-19-A046-A046-[S221,B0397][E1995,E1995]
301:4-21-A046-A046-[S221,B3796][E1994,E1994]
302:12-17-A046-A046-[S222,B5936][E2001,E2001]
303:8-21-A046-A063-[S223,B2654][E2002,E2002]
304:12-76-A024-A024-[S224,S224,S224,S224,S224,B4364,B2836,B3888,B0359,B2487][E2014,E2017,E2011,E2016,E2008,E2017,E2011,E2016,E2014,E2008]
305:6-48-A024-A024-[S224,S224,S224,B6976,B2487,B2487][E2009,E2022,E2010,E2022,E2009,E2010]
306:6-49-A024-A024-[S224,S224,S224,B0359,B3228,B4364][E2015,E2018,E2013,E2015,E2013,E2018]
307:2-20-A024-A024-[S224,B9097][E2023,E2023]
308:2-20-A024-A024-[S224,B9097][E2024,E2024]
309:2-30-A024-A024-[S224,B5195][E2019,E2019]
310:2-23-A046-A024-[S225,B2859][E2025,E2025]
311:48-44-A094-A094-[S226,S226,B4165,B1059][E2032,E2026,E2032,E2026]
312:16-21-A094-A094-[S226,B4158][E2031,E2031]
313:28-28-A094-A094-[S226,B4022][E2029,E2029]
314:2-19-A094-A094-[S226,B8953][E2034,E2034]
315:6-18-A094-A094-[S226,B0862][E2033,E2033]
316:8-48-A094-A094-[S226,S226,B4036,B3558][E2030,E2028,E2030,E2028]
317:4-19-A024-A024-[S227,B2487][E2035,E2035]
318:10-34-A024-A014-[S227,B2672][E2036,E2036]
319:6-24-A024-A024-[S227,B3200][E2037,E2037]
320:8-60-A024-A101-[S228,B3836][E2040,E2040]
321:4-19-A046-A046-[S229,B5449][E2041,E2041]
322:4-13-A081-A081-[S230,B5945][E2043,E2043]
323:4-21-A081-A081-[S230,B4541][E2042,E2042]
324:4-17-A094-A094-[S231,B7121][E2045,E2045]
325:4-15-A094-A094-[S231,B8433][E2046,E2046]
326:4-13-A081-A081-[S232,B5945][E2047,E2047]
327:6-20-A081-A081-[S232,B5958][E2048,E2048]
328:10-21-A024-A024-[S233,B0503][E2049,E2049]
329:2-23-A003-A063-[S234,B1795][E2050,E2050]
330:4-15-A003-A003-[S234,B6297][E2052,E2052]
331:10-35-A003-A003-[S234,S234,B1972,B0849][E2053,E2051,E2051,E2053]
332:6-16-A081-A081-[S235,B5994][E2056,E2056]
333:4-13-A081-A081-[S235,B5945][E2055,E2055]
334:4-13-A081-A081-[S235,B5365][E2054,E2054]
335:2-17-A046-A046-[S236,B4344][E2059,E2059]
336:4-18-A046-A046-[S236,B2450][E2058,E2058]
337:2-26-A046-A063-[S236,B1408][E2057,E2057]
338:2-15-A081-A045-[S237,B5951][E2070,E2070]
339:26-58-A081-A081-[S237,S237,B5746,B5365][E2069,E2068,E2069,E2068]
340:12-21-A081-A045-[S237,B1966][E2067,E2067]
341:4-15-A081-A081-[S237,B1248][E2061,E2061]
342:2-14-A081-A081-[S237,B1248][E2062,E2062]
343:2-14-A081-A081-[S237,B1248][E2063,E2063]
344:2-14-A081-A081-[S237,B1248][E2064,E2064]
345:4-13-A003-A003-[S238,B1336][E2071,E2071]
346:36-42-A094-A014-[S239,B1603][E2074,E2074]
347:24-33-A094-A094-[S239,B4036][E2077,E2077]
348:4-29-A094-A094-[S239,B3186][E2076,E2076]
349:4-25-A094-A094-[S239,B7948][E2080,E2080]
350:20-30-A094-A094-[S239,B7948][E2081,E2081]
351:12-21-A003-A003-[S240,B3714][E2085,E2085]
352:2-17-A003-A003-[S240,B1965][E2084,E2084]
353:4-17-A046-A046-[S241,B8907][E2089,E2089]
354:8-22-A046-A046-[S241,B0745][E2088,E2088]
355:6-18-A046-A046-[S241,B8907][E2090,E2090]
356:2-21-A046-A024-[S241,B3808][E2087,E2087]
357:2-16-A024-A024-[S242,B8738][E2091,E2091]
358:2-25-A024-A046-[S243,B7087][E2094,E2094]
359:8-26-A024-A024-[S243,B4186][E2092,E2092]
360:20-65-A024-A046-[S243,S243,S243,S243,B8907,B8203,B0690,B8907][E2095,E2093,E2096,E2097,E2096,E2095,E2093,E2097]
361:2-22-A101-A045-[S244,B3672][E2098,E2098]
362:4-20-A003-A046-[S245,B1115][E2099,E2099]
363:8-50-A003-A063-[S245,S245,B8300,B1402][E2103,E2100,E2103,E2100]
364:4-23-A003-A046-[S245,B5222][E2102,E2102]
365:4-17-A046-A046-[S246,B6996][E2105,E2105]
366:14-51-A046-A046-[S247,S247,S247,B8602,B4139,B3330][E2108,E2107,E2113,E2113,E2108,E2107]
367:6-21-A046-A046-[S247,B2450][E2106,E2106]
368:4-20-A046-A046-[S247,B6482][E2111,E2111]
369:4-20-A046-A003-[S247,B4218][E2109,E2109]
370:2-24-A046-A046-[S247,B7191][E2112,E2112]
371:14-60-A043-A101-[S248,S248,S248,B0031,B1283,B9038][E2114,E2116,E2126,E2116,E2114,E2126]
372:6-20-A043-A043-[S248,B6061][E2121,E2121]
373:4-13-A043-A101-[S248,B7227][E2123,E2123]
374:6-15-A043-A101-[S248,B6647][E2122,E2122]
375:6-15-A043-A043-[S248,B4640][E2119,E2119]
376:4-23-A043-A043-[S248,B7287][E2124,E2124]
377:4-21-A043-A043-[S248,B7678][E2125,E2125]
378:6-21-A043-A043-[S248,B3583][E2118,E2118]
379:14-18-A024-A024-[S249,B0677][E2127,E2127]
380:2-32-A003-A045-[S250,B4390][E2128,E2128]
381:4-18-A003-A003-[S251,B0149][E2129,E2129]
382:2-18-A046-A046-[S252,B7990][E2134,E2134]
383:4-54-A046-A098-[S252,S252,B0690,B0291][E2131,E2133,E2133,E2131]
384:4-23-A046-A063-[S252,B2654][E2130,E2130]
385:2-22-A046-A024-[S253,B4008][E2138,E2138]
386:2-19-A046-A024-[S253,B7890][E2139,E2139]
387:4-55-A046-A098-[S253,S253,B1221,B0291][E2135,E2136,E2135,E2136]
388:2-20-A046-A046-[S253,B3796][E2137,E2137]
389:8-19-A003-A003-[S254,B0149][E2140,E2140]
390:6-20-A003-A003-[S254,B1972][E2141,E2141]
391:18-26-A083-A083-[S256,B0128][E2143,E2143]
392:10-22-A003-A003-[S257,B4218][E2144,E2144]
393:4-27-A094-A094-[S258,B7948][E2145,E2145]
394:16-49-A094-A094-[S259,S259,B7948,B7948][E2163,E2164,E2163,E2164]
395:4-39-A094-A094-[S259,S259,B0454,B7948][E2157,E2165,E2157,E2165]
396:8-30-A094-A094-[S259,B7948][E2166,E2166]
397:6-52-A094-A014-[S259,S259,S259,B7948,B4036,B9115][E2171,E2152,E2167,E2167,E2152,E2171]
398:2-26-A094-A094-[S259,B0454][E2158,E2158]
399:6-29-A094-A094-[S259,B7948][E2168,E2168]
400:10-57-A094-A094-[S259,S259,S259,B0454,B7948,B4036][E2159,E2153,E2169,E2159,E2169,E2153]
401:2-26-A094-A094-[S259,B4036][E2154,E2154]
402:6-38-A094-A094-[S259,S259,B7948,B4036][E2170,E2155,E2170,E2155]
403:4-35-A094-A094-[S259,S259,B4036,B0454][E2160,E2156,E2156,E2160]
404:2-26-A094-A094-[S260,B4036][E2185,E2185]
405:14-53-A094-A094-[S260,S260,S260,B0454,B4036,B7948][E2203,E2186,E2195,E2195,E2186,E2203]
406:8-30-A094-A094-[S260,B7948][E2204,E2204]
407:14-58-A094-A094-[S260,S260,S260,B4036,B7948,B0454][E2205,E2187,E2196,E2187,E2205,E2196]
408:12-45-A094-A094-[S260,S260,B7948,B3186][E2178,E2206,E2206,E2178]
409:6-44-A094-A094-[S260,S260,B3186,B7948][E2179,E2207,E2179,E2207]
